load_id,dispatch_date,payment_date,buyer_id,block_id,cubic_meters,destination,total_revenue,is_rainy_season,dispatch_days,year
1,2018-01-06,2018-01-05,1,1,5.2,USA,572000.0,False,1,2018
2,2018-01-15,2018-01-14,2,2,4.8,China,480000.0,False,1,2018
3,2018-01-22,2018-01-21,3,3,4.1,Poland,369000.0,False,1,2018
4,2018-02-03,2018-02-02,4,1,5.5,USA,605000.0,False,1,2018
5,2018-02-14,2018-02-13,5,4,3.8,UK,304000.0,False,1,2018
6,2018-02-25,2018-02-24,6,2,4.3,China,430000.0,False,1,2018
7,2018-03-05,2018-03-04,1,1,6.1,USA,671000.0,False,1,2018
8,2018-03-12,2018-03-11,2,3,4.5,India,405000.0,False,1,2018
9,2018-03-19,2018-03-18,3,1,5.8,China,638000.0,False,1,2018
10,2018-03-28,2018-03-27,4,2,4.9,USA,490000.0,False,1,2018
11,2018-04-06,2018-04-05,5,4,3.5,Poland,280000.0,False,1,2018
12,2018-04-18,2018-04-17,6,1,5.3,UK,583000.0,False,1,2018
13,2018-05-02,2018-05-01,1,3,4.2,USA,378000.0,False,1,2018
14,2018-05-15,2018-05-14,2,1,5.7,China,627000.0,False,1,2018
15,2018-05-27,2018-05-26,3,2,4.4,India,440000.0,False,1,2018
16,2018-06-08,2018-06-07,4,5,3.2,Poland,224000.0,True,1,2018
17,2018-07-14,2018-07-13,5,4,3.6,UK,288000.0,True,1,2018
18,2018-08-20,2018-08-19,6,5,2.9,India,203000.0,True,1,2018
19,2018-09-04,2018-09-03,1,1,5.4,USA,594000.0,False,1,2018
20,2018-09-16,2018-09-15,2,2,4.7,China,470000.0,False,1,2018
21,2018-09-28,2018-09-27,3,1,5.9,Poland,649000.0,False,1,2018
22,2018-10-08,2018-10-07,4,3,4.3,USA,387000.0,False,1,2018
23,2018-10-19,2018-10-18,5,2,4.6,India,460000.0,False,1,2018
24,2018-10-30,2018-10-29,6,1,5.1,China,561000.0,False,1,2018
25,2018-11-09,2018-11-08,1,4,3.7,UK,296000.0,False,1,2018
26,2018-11-20,2018-11-19,2,1,6.0,USA,660000.0,False,1,2018
27,2018-11-29,2018-11-28,3,2,4.5,China,450000.0,False,1,2018
28,2018-12-07,2018-12-06,4,3,4.2,Poland,378000.0,False,1,2018
29,2018-12-17,2018-12-16,5,1,5.6,USA,616000.0,False,1,2018
30,2018-12-27,2018-12-26,6,4,3.9,India,312000.0,False,1,2018
31,2019-01-08,2019-01-07,1,1,5.5,USA,605000.0,False,1,2019
32,2019-01-18,2019-01-17,2,2,4.9,China,490000.0,False,1,2019
33,2019-01-28,2019-01-27,3,3,4.3,Poland,387000.0,False,1,2019
34,2019-02-07,2019-02-06,4,1,5.8,USA,638000.0,False,1,2019
35,2019-02-18,2019-02-17,5,4,3.9,UK,312000.0,False,1,2019
36,2019-02-26,2019-02-25,6,2,4.5,China,450000.0,False,1,2019
37,2019-03-07,2019-03-06,1,1,6.2,USA,682000.0,False,1,2019
38,2019-03-14,2019-03-13,2,3,4.6,India,414000.0,False,1,2019
39,2019-03-21,2019-03-20,3,1,5.9,China,649000.0,False,1,2019
40,2019-03-29,2019-03-28,4,2,5.0,USA,500000.0,False,1,2019
41,2019-04-08,2019-04-07,5,4,3.6,Poland,288000.0,False,1,2019
42,2019-04-19,2019-04-18,6,1,5.4,UK,594000.0,False,1,2019
43,2019-05-03,2019-05-02,1,3,4.3,USA,387000.0,False,1,2019
44,2019-05-16,2019-05-15,2,1,5.8,China,638000.0,False,1,2019
45,2019-05-28,2019-05-27,3,2,4.5,India,450000.0,False,1,2019
46,2019-06-10,2019-06-09,4,5,3.3,Poland,231000.0,True,1,2019
47,2019-07-15,2019-07-14,5,4,3.7,UK,296000.0,True,1,2019
48,2019-08-22,2019-08-21,6,5,3.0,India,210000.0,True,1,2019
49,2019-09-05,2019-09-04,1,1,5.5,USA,605000.0,False,1,2019
50,2019-09-17,2019-09-16,2,2,4.8,China,480000.0,False,1,2019
51,2019-09-29,2019-09-28,3,1,6.0,Poland,660000.0,False,1,2019
52,2019-10-09,2019-10-08,4,3,4.4,USA,396000.0,False,1,2019
53,2019-10-20,2019-10-19,5,2,4.7,India,470000.0,False,1,2019
54,2019-10-31,2019-10-30,6,1,5.2,China,572000.0,False,1,2019
55,2019-11-10,2019-11-09,1,4,3.8,UK,304000.0,False,1,2019
56,2019-11-21,2019-11-20,2,1,6.1,USA,671000.0,False,1,2019
57,2019-11-30,2019-11-29,3,2,4.6,China,460000.0,False,1,2019
58,2019-12-08,2019-12-07,4,3,4.3,Poland,387000.0,False,1,2019
59,2019-12-18,2019-12-17,5,1,5.7,USA,627000.0,False,1,2019
60,2019-12-28,2019-12-27,6,4,4.0,India,320000.0,False,1,2019
61,2020-01-15,2020-01-14,1,5,3.1,India,217000.0,False,1,2020
62,2020-02-20,2020-02-19,2,4,3.4,India,272000.0,False,1,2020
63,2020-03-10,2020-03-09,3,5,2.8,India,196000.0,False,1,2020
64,2020-05-18,2020-05-17,4,4,3.2,India,256000.0,False,1,2020
65,2020-07-22,2020-07-21,5,5,2.9,India,203000.0,True,1,2020
66,2020-09-14,2020-09-13,6,4,3.5,China,280000.0,False,1,2020
67,2020-10-08,2020-10-07,1,5,3.0,India,210000.0,False,1,2020
68,2020-11-12,2020-11-11,2,4,3.3,India,264000.0,False,1,2020
69,2020-12-05,2020-12-04,3,5,2.7,India,189000.0,False,1,2020
70,2020-12-20,2020-12-19,4,4,3.1,China,248000.0,False,1,2020
71,2021-01-07,2021-01-06,1,1,5.3,USA,583000.0,False,1,2021
72,2021-01-18,2021-01-17,2,2,4.7,China,470000.0,False,1,2021
73,2021-01-27,2021-01-26,3,3,4.2,Poland,378000.0,False,1,2021
74,2021-02-06,2021-02-05,4,1,5.6,USA,616000.0,False,1,2021
75,2021-02-17,2021-02-16,5,4,3.8,UK,304000.0,False,1,2021
76,2021-02-25,2021-02-24,6,2,4.4,China,440000.0,False,1,2021
77,2021-03-06,2021-03-05,1,1,6.3,USA,693000.0,False,1,2021
78,2021-03-13,2021-03-12,2,3,4.7,India,423000.0,False,1,2021
79,2021-03-20,2021-03-19,3,1,6.0,China,660000.0,False,1,2021
80,2021-03-28,2021-03-27,4,2,5.1,USA,510000.0,False,1,2021
81,2021-04-07,2021-04-06,5,4,3.7,Poland,296000.0,False,1,2021
82,2021-04-18,2021-04-17,6,1,5.5,UK,605000.0,False,1,2021
83,2021-05-04,2021-05-03,1,3,4.4,USA,396000.0,False,1,2021
84,2021-05-17,2021-05-16,2,1,5.9,China,649000.0,False,1,2021
85,2021-05-29,2021-05-28,3,2,4.6,India,460000.0,False,1,2021
86,2021-06-11,2021-06-10,4,5,3.4,Poland,238000.0,True,1,2021
87,2021-07-16,2021-07-15,5,4,3.8,UK,304000.0,True,1,2021
88,2021-08-23,2021-08-22,6,5,3.1,India,217000.0,True,1,2021
89,2021-09-06,2021-09-05,1,1,5.6,USA,616000.0,False,1,2021
90,2021-09-18,2021-09-17,2,2,4.9,China,490000.0,False,1,2021
91,2021-09-30,2021-09-29,3,1,6.1,Poland,671000.0,False,1,2021
92,2021-10-10,2021-10-09,4,3,4.5,USA,405000.0,False,1,2021
93,2021-10-21,2021-10-20,5,2,4.8,India,480000.0,False,1,2021
94,2021-11-01,2021-10-31,6,1,5.3,China,583000.0,False,1,2021
95,2021-11-11,2021-11-10,1,4,3.9,UK,312000.0,False,1,2021
96,2021-11-22,2021-11-21,2,1,6.2,USA,682000.0,False,1,2021
